agency,date,title,status,purpose,period_covered,link
OWWA,"February 06, 2022",Swab test result follow up,PENDING,Follow for result of my swab test,01/30/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtMDM5MjAyNTU4NTcyDA
DepEd,"February 06, 2022",ALS Certificate/Diploma,PENDING,Applying in TESDA,12/31/2010 - 12/31/2011,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTY5MzY2ODc3OTc1Ngw
DOH,"February 06, 2022",Marron M. Velasquez,ACCEPTED,Vaxcert: 1st Dose No Record Found,02/05/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zNzc5ODQ4MTk4MzcM
SSS,"February 06, 2022",Reset my SSS Password,PENDING,For verification of my loans details as requirement to my current employer.,01/01/2022 - 02/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0yOTE4NjEzNTAzMTYM
PAGASA,"February 06, 2022","Monthly Climatology of Muñoz, Nueva Ecija",PENDING,Climate description in the official website of International Affairs Office of Central Luzon State U,01/01/1990 - 12/31/2020,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0FTQS0xNDg1OTEyODMxNjEM
DOLE,"February 06, 2022",Financial Assistance,PENDING,Expenses,01/13/2022 - 01/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMTA4ODQxNjU0MjYwDA
DOLE,"February 06, 2022",Cash Claim for COVID positive employees,PENDING,Request for assistance,01/11/2022 - 01/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNTA4Njg3NzgwNzMwDA
DOH,"February 06, 2022",2nd dose update,ACCEPTED,For employment purposes,11/05/2021 - 11/05/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NDM0MDg5NTI4NDAM
NTC,"February 06, 2022",Mga text massage ng number ng asawa ko,PENDING,"para malaman ko lahat ng message ng asawa ko, Kasi lumayas Siya sa Bahay feb.4 dala Ang anak namin",01/01/2017 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04MDI4Njg1NDI3MzAM
DOH,"February 06, 2022",Vaxcert update,ACCEPTED,Follow up my 2nd dose and vaxcert,02/02/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04NDU3NjQxMTI5NjcM
DSWD,"February 06, 2022",Financial assistance for my 82y/o mom who is a covid positive,PENDING,"Cash aid for my 82 y/o mother ,who is a covid positive",01/29/2022 - 02/06/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURTV0QtMjYyMjQyOTY1NTkzDA
MGB,"February 06, 2022",Mineral Production Sharing Agreement (MPSA),PENDING,Research and development,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE1HQi01OTk5NjIyOTk0NTkM
