agency,date,title,status,purpose,period_covered,link
MGB,"June 21, 2023",Geohazard map for Tarlac City,ACCEPTED,as requirement for funding request,05/27/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE1HQi00MjE0MTM1MTQ2MjQM
DA,"June 21, 2023",Crop Water Requirement of the Crops in the Philippines,PENDING,Undergraduate thesis,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTAwNDY4OTgyMTg5Ngw
LTO,"June 21, 2023",license＃N29-23-000439,PENDING,Reset my email account,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy04MjI5MDIzNTE1MjkM
MMSU,"June 21, 2023",Pedro Almazan and his contribution during the Spanish Occupation,PENDING,Research and Development,01/01/1600 - 01/01/1661,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NU1UtMDIyMzgxMzI3MDE5DA
PSA,"June 21, 2023",Inflation and GDP growth in Davao City,PARTIALLY SUCCESSFUL,Data for Thesis,01/01/2002 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02NjgxNjE1NTQ5NDgM
DA,"June 21, 2023",Agricultural Hub Data,PENDING,Architectural Thesis,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTI3MDU4MzUxMTg3Mgw
LTO,"June 21, 2023",Driver's License LTO Certification & DFA Authentication,PENDING,Apply for a license in Ireland,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0yMDg0MzMxNDU4NDAM
SEC,"June 21, 2023",Businesses in Marinduque,SUCCESSFUL,Study on the potential of Marinduque Island (Supercluster),01/01/2022 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy03NDkzNTA5NTM2MDAM
DTI,"June 21, 2023","List of Small and Medium Enterprises (SMEs) owners in Lipa City, Batangas and Meaning of SMEs",PENDING,Thesis Study,05/31/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS03NDgzNDU4NDkwMDIM
DTI,"June 21, 2023",Marinduque Businesses,PENDING,Study - potential of Marinduque Island,01/01/2021 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS00MjgwNTg2MjYyMzIM
